id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,,2,"Ninu Orin Dafidi 8:3, 4, Dafidi sọ ìbẹ̀rù-ọlọ́wọ̀ ti oun nimọlara rẹ̀jade: “Nigba ti mo ro ọ̀run rẹ, iṣẹ ìka rẹ, oṣupa ati irawọ, ti iwọ ti ṣe ilana silẹ. Ki ni eniyan, ti iwọ fi ń ṣe iranti rẹ̀? Ati ọmọ eniyan, ti iwọ fi ń bẹ̀ ẹ́ wò?”","At Psalm 8:3, 4, David expressed the awe he felt: “When I see your heavens, the works of your fingers, the moon and the stars that you have prepared, what is mortal man that you keep him in mind, and the son of earthling man that you take care of him?”",True,high,html,0
2,,2,"Fun awọn 'ẹ̀dá tí ń kerora' tí wọn ń ṣiṣẹsin Ọlọrun nisinsinyi ninu ìwà títọ́, ẹ wò iru ireti díd án tí Ijọba Ọlọrun nawọ́ rẹ̀jade!","For those of 'groaning creation' who now serve God in integrity, what a bright hope God's kingdom holdsforth!",False,high,html,0
3,,2,"Bi aba ri aga ifi okan bale eyi ti awon alagbara aye ti fi agbara pelu etan gba lo lowo re, owo agbara Igbani eyi to sawari ake tobo sinu odo jade!",Auto Correct,False,high,similar_phrase,0
4,,2,"Pọọlu sọ pe: “Awa ni iṣura yii ninu awọn koto à famọ̀ṣe, ki agbara ti o rekọja ti ẹ̀dá lè jẹ́ ti Ọlọrun ki ó maṣe jẹ́ eyi ti o ti ọdọ awa tikaraawajade.”","Paul said: “We have this treasure in earthen vessels, that the power beyond what is normal may be God's and not thatoutof ourselves.”",False,high,tmem,0
5,,2,"Onílé naa wulẹ maa ń dahun lati inu ẹ̀rọ ibanisọrọ ni, kò figba kan rijadewá lati pade Hatsumi.","The householder only answered through the intercom, never comingoutto meet Hatsumi.",False,high,tmem,0
6,,2,"Dipo kí kọ ọlẹ̀ tí ń dagba naa gẹgẹ bi iṣupọ sẹẹli ajeji kan, yoo founjẹ bọ́ ọ yoo sì daabobo o titi di ìgbà ti ó bá ṣetan latijadegẹgẹ bi ọmọ jòjòló kan.","Instead of rejecting the growing embryo as foreign tissue, it nourishes and protects it until it is ready toemergeas a baby.",False,high,tmem,0
7,,2,“AGBARA kan ti gorí ahọ́n mi awọn ọ̀rọ̀ naa sì wulẹ ń tújadeyàà bi omi ni.,“A POWER had taken ahold of my tongue and the words justflowedlike water.,False,high,tmem,0
8,,2,"Bi o ti wu ki o ri, ni rironu nipa gbogbo ariyanjiyan ti o le dide bi emi yoo ba maa kọ́ni ni orin, iru bii sisọ fun mi lati kọni tabi gbé ohùn orin onisin ati onifẹẹ orilẹ-edejade, mo pinnu lati lepa ohun miiran a sì yàn mi lati kọ́ni ni ẹkọ itan ayé.","However, thinking of all the issues that could arise if I was to teach music, such as being asked to teach or play religious and nationalistic music, I decided to pursue something else and was assigned to teach world history.",False,high,tmem,0
9,,2,"Lẹhin naa wọn sọkalẹ lati iyara oke naa, wọnjadesinu okunkun alẹ́ ti tutu minimini, wọn sì pada forile isọda Afonifoji Kidironi, niha Bẹtani.","Then they descend from the upper room, emergeinto the cool darkness of the night, and head back across the Kidron Valley toward Bethany.",False,high,tmem,0
10,,2,"Awọn ọmọ Ẹlẹrii ni a lejadekuro ninu ile-ẹkọ, awọn obi ni a faṣẹ ọba mu, awọn awujọ eniyankeniyan si lé awọn Ẹlẹriijadekuro ni ilu.","Witness children wereexpelledfrom schools, parents were arrested, and mobs ran Witnessesoutof town.",False,high,tmem,0
