id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,,1,Àwọn ilé tí wọ́n kọ́ bí à gọ́ ló wà ní Àfonífojì TashRabat,Tentlike dwellings called yurts in the Tash Rabat Valley,False,high,tmem,0
2,1.0,2,Radiomu,radium,False,high,primary_translation,0
3,,3,radium,radium,False,high,primary_translation,0
4,,7,Ralph Ellison,Ralph Ellison,False,high,primary_translation,0
5,,8,reggae,reggae,False,high,primary_translation,0
6,,9,Reggae,reggae,False,high,primary_translation,0
7,,10,Remote procedure call,remote procedure call,False,high,primary_translation,0
8,,11,Renminbi,renminbi,False,high,primary_translation,0
9,,12,renminbi,renminbi,False,high,primary_translation,0
10,9.0,13,"Lá lẹ́ ọjọ́ kan, a ò rí tọkọtaya kan tí à ń retí.",One night a couple whom we werewaitingfor did not show up.,False,high,html,0
11,,13,"tí a ti ń retí, ṣùgbọ́n, tí kò tí ì ṣẹlẹ̀.",To many observers this intense interest in the future is merely a repetition of previouslyhoped-for changes that did not materialize.,False,high,html,0
12,,13,"“Àjà rà à ti Ọ̀pọ̀tọ́ à ti Pómégírá nétì” Lẹ́yìn tí Mósè ti ṣe aṣá ájú à wọn èèyàn rẹ̀ nínú aginjù fún ogójì [40] ọdún, ó mú wọn dé bèbè ibi tí wọ́n ti máa gbá dùn ohun tí wọ́n ń retí, ìyẹn jíjẹ lá ra èso Ilẹ̀ Ìlérí.","“Vines and Figs and Pomegranates” After leading his people in the wilderness for 40 years, Moses set an enticingprospectbefore them —that of eating the fruitage of the Promised Land.",False,high,html,0
13,,13,"(Efesu 6: 1-3) Óretípé kí à wọn òbí fún à wọn ọmọ wọn ní ìtọ́ni, kí wọ́n sì tọ́ wọn sọ́nà.",(Ephesians 6:1-3) Heexpectsparents to instruct and correct their children.,False,high,tmem,0
14,8.0,13,"14 Níto rí náà, ẹ̀yin ará mi ọ̀wọ́n, bí ẹ ṣe ń retíàwọn nǹkan yìí, ẹ sa gbogbo ipá yín kó lè bá yín nígbẹ̀yìn-gbẹ́yín lá ìní èérí à ti à bà àwọ́n à ti ní à là áfíà.","14 Therefore, beloved ones, since you areawaitingthese things, do your utmost to be found finally by him spotless and unblemished and in peace.",False,high,tmem,0
15,,13,"Níwọ̀n bí òun ti gbà tá lẹ́ń tì kan, a kò lèretípé kí ó pèsè ohun púpọ̀ gẹ́gẹ́ bí ti ẹrú náà tí ó ní tá lẹ́ń tì má rùn-ún.","Having received but one talent, he would not have beenexpectedto produce as much as the slave with five talents.",False,high,tmem,0
16,,13,Jèhófà retípé kí a máa fi tọkà ntọkàn sin òun.,Jehovahexpectsus to serve him wholeheartedly.,True,high,tmem,0
17,,13,"(Róòmù 12:12) Àmọ́ ká tó lè máa yọ̀ nínú ìrètí, ohun tá à ń retíyẹn gbọ́dọ̀ máa wà lọ́kàn wa nígbà gbogbo.","(Romans 12:12) In order to do so, however, we must keep ourhopefresh in mind.",False,high,tmem,0
18,,13,"Ọlọrunretípé kí à wọn òbí fún à wọn ọmọ wọn ní ìtọ́ni, kí wọ́n sì tọ́ wọn sọ́nà",Godexpectsparents to instruct their children and to correct them,False,high,tmem,0
19,,13,Àwa náà mọ̀ pé kò bọ́gbọ́n mu ká retípé kí Ọlọ́run dá hùn irú à wọn à dúrà tó ta kora bẹ́ẹ̀.,God can hardly beexpectedto respond to such conflicting prayers.,False,high,tmem,0
20,,13,Kì í wulẹ̀ ṣe pé Jèhófà ní kí a máa dá rí ji ara wa ni; ó ń retípé kí a máa ṣe bẹ́ẹ̀.,Jehovah does not just ask us to forgive one another; heexpectsus to do so.,True,high,tmem,0
21,,13,"Bí à pẹẹrẹ, obìnrin kan tó ti fi gbogbo ohun ìní rẹ̀ tọ́jú à ìsàn tó ń ṣe é fọwọ́ kan aṣọ Jésù, óretípé òun á rí ìwòsàn.","For example, a woman who had spent all her resources to pay for medical treatment touched Jesus' garment, hoping fora cure.",False,high,tmem,0
22,,13,"1, 2. (a) Irú ìdà gbàsókè wo laretíkí ọmọdé ní?","1, 2. (a) What kind of growth isexpectedin the case of a child?",False,high,tmem,0
23,,13,Ìfẹ́ “máa [ń]retíohun gbogbo.”,Love “hopesall things.”,False,high,tmem,0
24,,13,"(Aísá yà 38:9-12, 18-20) Bá kan náà, a ní lá ti jẹ́ ká wọn alá ìsàn tó ń retíikú fi ẹ̀dùn ọkàn wọn hàn nípa bí ikú ṣe fẹ́ dá ẹ̀mí wọn légbodò.","(Isaiah 38:9-12, 18-20) Similarly, terminally ill people must be allowed to express sadness at seeing their life cut short.",False,high,tmem,0
25,,13,Ọjọ́ kan ń bọ̀ tí gbogbo ohun tá à ń retíyóò tẹ̀ wá lọ́wọ́.,The day will come when ourhopewill be realized.,False,high,tmem,0
26,,13,Aretípé ká wọn ará kùnrin tó bá máa ṣe iṣẹ́ yìí rí i dá jú pé à wọn kò kọjá à kókò tó yẹ kí wọ́n lò.,It isexpectedthat brothers assigned this talk will be careful to keep within the time limit.,False,high,tmem,0
27,,13,"Bí ohunkóhun bá wà tí mo ń retíkó ṣẹlẹ̀ sí mi lọ́jọ́ iwá jú, ikú ni, tí ẹnikẹ́ni kò sì ní mọ̀.”—Arnulfo, ọmọ ọdún mẹ́ẹ̀ẹ́dógún tí kò nílé.","If Iexpectanything for the future, it is to die without anyone taking notice.”—Arnulfo, a 15-year-old homeless boy.",False,high,tmem,0
28,,13,"(Owe 3:5, NW) Àwọn olùgbaninímọ̀ràn nínú ayé à ti à wọn afìṣemọ̀rònú kò lèretíl áé lá ti súnmọ́ ọgbọ́n à ti òye tí Jehofa fihàn.",(Proverbs 3:5) Worldly counselors and psychologists can neverhopeto approach the wisdom and understanding that Jehovah displays.,True,high,tmem,0
29,,13,"Níto rí náà, ó yẹ kó dá wa lójú hán-ún hán-ún pé à wọn ohun tá à ń retígẹ́gẹ́ bí Bíbélì ti ṣèlérí, yóò ní ìmúṣẹ.",We can therefore be confident that he will turn our Bible-basedhopesinto reality.,True,high,tmem,0
30,,13,"Ohun tí ẹnikẹ́ni òretíṣẹlẹ̀, Gallus ṣà dédé kó à wọn ọmọ ogun rẹ̀ kúrò nílùú náà èyí sì fún à wọn Kristẹni tó wà ní Jerúsá lẹ́mù à ti Jùdíà lá yè lá ti tẹ̀lé ọ̀rọ̀ Jésù kí wọ́n sì sá lọ sí à wọn òkè ń lá.—Má tíù 24:15, 16.","Unexpectedly, Gallus withdrew his troops, opening the way for Christians in Jerusalem and Judea to obey Jesus' words and flee to the mountains. —Matthew 24:15, 16.",False,high,tmem,0
31,,13,"Ṣùgbọ́n ní ibi púpọ̀ ní Áfíríkà, ọgọ́rọ̀ọ̀rún à wọn tí ó wá síbi ètò ìsìnkú ni ó máa ń wọ́ lọ sílé olóògbé náà, tí wọ́n sì ń retípé kí a filé pọntí, kí a fọ̀nà rokà, kí a sì pẹran.","But in many parts of Africa, hundreds who attend the funeral descend on the home of the deceased andexpecta feast, where animals are often sacrificed.",False,high,tmem,0
32,,13,(b) Kí ló lè máa fún wa lókun bá a ṣe ń retíàwọn ohun tó ń bọ̀ wá ṣẹlẹ̀?,(b) What can fortify usforwhat lies ahead?,False,high,tmem,0
33,,13,"Àyè díẹ̀ ni wọ́n ní fún iṣẹ́ à ṣetiléwá, à wọn olùkọ́ tí wọ́n sì máa ń rí à wọn akẹ́kọ̀ọ́ tó ti rẹ̀ tẹnutẹnu, tí ń tiraka lá ti wà lójúfò nígbà gbogbo sá bà máa ń hùwà pa dà nípa dídín ohun tí wọ́n retíkù.”","They have little time for homework, and teachers who regularly watch exhausted students struggling to keep their heads up all too often respond by loweringstandards.”",False,high,tmem,0
34,,13,Kì íretípé ká ṣe ohun tó ju agbá ra wa lọ rá rá.,He neverexpectsof us more than we can do.,False,high,tmem,0
35,,13,"5 Gẹ́gẹ́ bíi Kristẹni, à wa ná àretípé a ó ṣe inúnibíni sí wa.","5 As Christians, we tooexpectto be persecuted.",False,high,tmem,0
36,10.0,14,"Torí mo mọ̀ pé ìgbeayé tó yá tọ̀, tó rewà tó sì jẹ́ àǹfà àní tí mò ń gbé lọ́wọ́ yìí ni ìdí tó òtọ́ tí mo fi pinnu lá ti ṣiṣẹ́ tọ iṣẹ́ kan tí yóò bá èmi à ti ẹbí mi wá owó geere.","Because I know that this bizarre, beautifuland privileged life that I now live is the true reason for why I decided to pursue a career that would help me and my family find financial stability.",False,high,html,0
37,10.0,14,"Òtítọ́ pé a ká ràm ásìki nípa ẹ̀tọ́ ẹranko, ìyẹ́n túmọ̀ sí wí pé bí ọkàn wa ṣerewà sí nìyẹn, pé a ká ràm ásìkí nípa enìkan tí ò le fi ẹnu arawọn sọ̀rọ̀.","The fact that we care about animals' rights, that means that's howbeautifulour heart is, that we care about someone who cannot speak for themselves.",False,high,tmem,0
38,,15,Rhenium,rhenium,False,high,primary_translation,0
39,,16,rhenium,rhenium,False,high,primary_translation,0
40,,17,rhodium,rhodium,False,high,primary_translation,0
41,,18,Rhodium,rhodium,False,high,primary_translation,0
42,,20,Ribbon,Ribbon,False,high,primary_translation,0
43,,21,Richard Wright,Richard Wright,False,high,primary_translation,0
44,16.0,22,ridájú,verify,False,high,primary_translation,0
45,,24,"Lọ́dún 1998, wọ́n yàn mí lá ti máa sìn gẹ́gẹ́ bí aṣá ájú ọ̀nà à kà nṣe nílùú Jelgava, tó jẹ́ nǹkan bí ogójì kìlómítà sílùúRiga.","In 1998, I was appointed to serve as a special pioneer in Jelgava, a town 25 miles [40 km] southwest of Riga.",False,high,tmem,0
